"행정구역별(시군구)","직업별","항목","단위","2015 년",
"서울특별시","6. 농림어업 숙련 종사자","여-근무지","","1549",
"서울특별시","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","394439",
"서울특별시","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","424314",
"서울특별시","7. 기능원 및 관련 기능 종사자","남-현거주지","","300210",
"서울특별시","7. 기능원 및 관련 기능 종사자","남-근무지","","321828",
"서울특별시","7. 기능원 및 관련 기능 종사자","여-현거주지","","94229",
"서울특별시","7. 기능원 및 관련 기능 종사자","여-근무지","","102486",
"서울특별시","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","283597",
"서울특별시","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","297074",
"서울특별시","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","248533",
"서울특별시","8. 장치, 기계조작 및 조립 종사자","남-근무지","","260924",
"서울특별시","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","35064",
"서울특별시","8. 장치, 기계조작 및 조립 종사자","여-근무지","","36150",
"서울특별시","9. 단순 노무 종사자","취업인구-현거주지","","452881",
"서울특별시","9. 단순 노무 종사자","취업인구-근무지","","475208",
"서울특별시","9. 단순 노무 종사자","남-현거주지","","265282",
"서울특별시","9. 단순 노무 종사자","남-근무지","","274754",
"서울특별시","9. 단순 노무 종사자","여-현거주지","","187599",
"서울특별시","9. 단순 노무 종사자","여-근무지","","200454",
"서울특별시","A. 기타","취업인구-현거주지","","8937",
"서울특별시","A. 기타","취업인구-근무지","","8606",
"서울특별시","A. 기타","남-현거주지","","8470",
"서울특별시","A. 기타","남-근무지","","8038",
"서울특별시","A. 기타","여-현거주지","","467",
"서울특별시","A. 기타","여-근무지","","568",
"종로구","계","취업인구-현거주지","","72265",
"종로구","계","취업인구-근무지","","295339",
"종로구","계","남-현거주지","","39675",
"종로구","계","남-근무지","","170433",
"종로구","계","여-현거주지","","32590",
"종로구","계","여-근무지","","124906",
"종로구","1. 관리자","취업인구-현거주지","","1687",
"종로구","1. 관리자","취업인구-근무지","","7115",
"종로구","1. 관리자","남-현거주지","","1323",
"종로구","1. 관리자","남-근무지","","5678",
"종로구","1. 관리자","여-현거주지","","364",
"종로구","1. 관리자","여-근무지","","1437",
"종로구","2. 전문가 및 관련 종사자","취업인구-현거주지","","18433",
"종로구","2. 전문가 및 관련 종사자","취업인구-근무지","","81038",
"종로구","2. 전문가 및 관련 종사자","남-현거주지","","9277",
"종로구","2. 전문가 및 관련 종사자","남-근무지","","46937",
"종로구","2. 전문가 및 관련 종사자","여-현거주지","","9156",
"종로구","2. 전문가 및 관련 종사자","여-근무지","","34101",
"종로구","3. 사무 종사자","취업인구-현거주지","","14768",
"종로구","3. 사무 종사자","취업인구-근무지","","80929",
"종로구","3. 사무 종사자","남-현거주지","","7645",
"종로구","3. 사무 종사자","남-근무지","","42157",
"종로구","3. 사무 종사자","여-현거주지","","7123",
"종로구","3. 사무 종사자","여-근무지","","38772",
