"시군구별(1)","시군구별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017
"시군구별(1)","시군구별(2)",성별(1),당뇨병,당뇨병,당뇨병,당뇨병,고혈압,고혈압,고혈압,고혈압
"시군구별(1)","시군구별(2)",성별(1),소계,정상,공복혈당장애,당뇨병,소계,정상,고혈압전단계,고혈압
"경기","용인시기흥구",남자,897,84,311,502,1615,133,569,913
"경기","용인시기흥구",여자,225,17,84,124,573,86,242,245
"경기","용인시수지구",합계,737,59,269,409,1539,157,506,876
"경기","용인시수지구",남자,577,45,214,318,1143,109,376,658
"경기","용인시수지구",여자,160,14,55,91,396,48,130,218
"경기","파주시",합계,1526,164,544,818,2883,231,1025,1627
"경기","파주시",남자,1104,119,396,589,2111,126,781,1204
"경기","파주시",여자,422,45,148,229,772,105,244,423
"경기","이천시",합계,811,133,296,382,1518,219,520,779
"경기","이천시",남자,596,96,216,284,1129,156,381,592
"경기","이천시",여자,215,37,80,98,389,63,139,187
"경기","안성시",합계,855,110,277,468,1413,100,465,848
"경기","안성시",남자,641,86,200,355,1004,62,307,635
"경기","안성시",여자,214,24,77,113,409,38,158,213
"경기","김포시",합계,1312,142,416,754,2431,193,890,1348
"경기","김포시",남자,976,103,300,573,1740,116,640,984
"경기","김포시",여자,336,39,116,181,691,77,250,364
"경기","화성시",합계,2498,319,812,1367,5231,434,1776,3021
"경기","화성시",남자,2025,275,644,1106,4198,328,1399,2471
"경기","화성시",여자,473,44,168,261,1033,106,377,550
"경기","광주시",합계,948,130,288,530,1966,205,716,1045
"경기","광주시",남자,689,97,203,389,1305,114,453,738
"경기","광주시",여자,259,33,85,141,661,91,263,307
"경기","양주시",합계,778,107,272,399,1296,112,454,730
"경기","양주시",남자,580,78,198,304,899,62,312,525
"경기","양주시",여자,198,29,74,95,397,50,142,205
"경기","포천시",합계,624,63,256,305,934,76,322,536
"경기","포천시",남자,448,50,182,216,575,40,195,340
"경기","포천시",여자,176,13,74,89,359,36,127,196
"경기","여주시",합계,318,40,115,163,614,81,231,302
"경기","여주시",남자,231,24,91,116,441,55,161,225
"경기","여주시",여자,87,16,24,47,173,26,70,77
"경기","연천군",합계,128,21,41,66,222,30,78,114
"경기","연천군",남자,91,17,28,46,136,15,48,73
"경기","연천군",여자,37,4,13,20,86,15,30,41
"경기","가평군",합계,111,13,36,62,214,20,78,116
"경기","가평군",남자,81,8,26,47,145,12,55,78
"경기","가평군",여자,30,5,10,15,69,8,23,38
"경기","양평군",합계,212,23,85,104,473,63,165,245
"경기","양평군",남자,151,17,52,82,313,33,105,175
"경기","양평군",여자,61,6,33,22,160,30,60,70
"강원","소계",합계,5374,574,1972,2828,10012,944,4030,5038
"강원","소계",남자,3854,422,1393,2039,6570,544,2497,3529
"강원","소계",여자,1520,152,579,789,3442,400,1533,1509
"강원","춘천시",합계,851,58,286,507,1494,181,498,815
"강원","춘천시",남자,585,36,186,363,990,99,323,568
"강원","춘천시",여자,266,22,100,144,504,82,175,247
"강원","원주시",합계,1211,137,429,645,2218,177,868,1173
"강원","원주시",남자,843,105,296,442,1510,117,570,823
"강원","원주시",여자,368,32,133,203,708,60,298,350
"강원","강릉시",합계,654,44,270,340,1482,95,596,791
"강원","강릉시",남자,460,28,194,238,878,45,324,509
"강원","강릉시",여자,194,16,76,102,604,50,272,282
"강원","동해시",합계,546,58,226,262,777,47,368,362
"강원","동해시",남자,413,42,161,210,521,22,234,265
"강원","동해시",여자,133,16,65,52,256,25,134,97
"강원","태백시",합계,424,46,166,212,614,68,225,321
"강원","태백시",남자,324,40,135,149,432,42,153,237
"강원","태백시",여자,100,6,31,63,182,26,72,84
"강원","속초시",합계,196,16,60,120,403,52,153,198
"강원","속초시",남자,146,10,45,91,268,30,91,147
"강원","속초시",여자,50,6,15,29,135,22,62,51
"강원","삼척시",합계,445,81,201,163,853,56,416,381
"강원","삼척시",남자,338,64,146,128,573,30,263,280
"강원","삼척시",여자,107,17,55,35,280,26,153,101
"강원","홍천군",합계,194,18,58,118,353,33,150,170
"강원","홍천군",남자,125,15,31,79,205,18,85,102
"강원","홍천군",여자,69,3,27,39,148,15,65,68
"강원","횡성군",합계,127,15,35,77,307,41,121,145
"강원","횡성군",남자,84,9,20,55,157,19,55,83
"강원","횡성군",여자,43,6,15,22,150,22,66,62
"강원","영월군",합계,75,6,26,43,131,16,48,67
"강원","영월군",남자,57,3,18,36,102,12,37,53
"강원","영월군",여자,18,3,8,7,29,4,11,14
"강원","평창군",합계,81,8,32,41,155,16,50,89
"강원","평창군",남자,55,7,20,28,108,12,28,68
"강원","평창군",여자,26,1,12,13,47,4,22,21
