"행정구역별(시군구)",2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)",5세 이상 인구-계,제약없음-계,제약있음-계,배우기기억하기집중하기,옷입기목욕하기밥먹기집안돌아다니기,장보기병원가기집밖돌아다니기,(16세이상)취업활동
"봉화군",30231,27398,2833,1027,818,1908,1117
"울진군",46004,42477,3527,1488,914,2502,705
"울릉군",8244,7814,430,142,65,292,136
"경상남도",3070753,2917364,153389,63485,44699,99775,56543
"동부",2018873,1950118,68755,26545,19618,43235,26086
"읍부",420903,397636,23267,10638,7547,15321,9440
"면부",630977,569610,61367,26302,17534,41219,21017
"진주시",327405,312075,15330,6934,5312,10068,5130
"통영시",124520,116631,7889,2601,1981,5311,3139
"사천시",103791,95836,7955,3368,2655,5500,3463
"김해시",483285,466957,16328,6704,4544,10336,5810
"밀양시",97023,88717,8306,3347,2021,5433,3492
"거제시",232585,226190,6395,2753,1977,4288,2380
"양산시",272345,262432,9913,4336,3057,6459,3652
"창원시",978973,944960,34013,13271,10214,21518,12364
"의창구",236160,228127,8033,2847,2227,5426,2575
"성산구",216417,212408,4009,1907,1411,2535,1374
"마산합포구",167981,159689,8292,3338,2473,5281,2928
"마산회원구",195103,187532,7571,2931,2204,4518,2722
"진해구",163312,157204,6108,2248,1899,3758,2765
"의령군",25714,22360,3354,1361,765,2123,1038
"함안군",62650,58283,4367,1425,1086,3025,1406
"창녕군",57655,51946,5709,2220,1442,3914,1698
"고성군",49944,44630,5314,2363,1569,3746,1472
"남해군",42277,37502,4775,2187,1212,3246,1439
"하동군",42922,37807,5115,2345,1461,3318,2301
"산청군",32298,28236,4062,1733,1354,2740,1573
"함양군",36805,32849,3956,1687,1407,2557,1806
"거창군",57500,52162,5338,2630,1304,2961,2819
"합천군",43061,37791,5270,2220,1338,3232,1561
"제주특별자치도",559238,530490,28748,11642,8765,18011,12881
"동부",411093,393827,17266,6823,5237,10361,8351
"읍부",119251,109929,9322,3932,2810,6152,4032
"면부",28894,26734,2160,887,718,1498,498
"제주시",416480,396456,20024,8429,6262,12301,9499
"서귀포시",142758,134034,8724,3213,2503,5710,3382
