"행정구역별","연령별","항목","단위","2015 년",
"종로구","60~64","여자-배우자있음","","3021",
"종로구","60~64","여자-사별","","805",
"종로구","60~64","여자-이혼","","354",
"종로구","65~69","내국인(60세 이상)-계","","7035",
"종로구","65~69","혼인상태-계","","7035",
"종로구","65~69","미혼","","305",
"종로구","65~69","배우자 있음","","5011",
"종로구","65~69","사별","","1172",
"종로구","65~69","이혼","","547",
"종로구","65~69","남자-계","","3225",
"종로구","65~69","남자-미혼","","196",
"종로구","65~69","남자-배우자 있음","","2593",
"종로구","65~69","남자-사별","","153",
"종로구","65~69","남자-이혼","","283",
"종로구","65~69","여자-계","","3810",
"종로구","65~69","여자-미혼","","109",
"종로구","65~69","여자-배우자있음","","2418",
"종로구","65~69","여자-사별","","1019",
"종로구","65~69","여자-이혼","","264",
"종로구","70~74","내국인(60세 이상)-계","","6344",
"종로구","70~74","혼인상태-계","","6344",
"종로구","70~74","미혼","","195",
"종로구","70~74","배우자 있음","","4141",
"종로구","70~74","사별","","1723",
"종로구","70~74","이혼","","285",
"종로구","70~74","남자-계","","2857",
"종로구","70~74","남자-미혼","","102",
"종로구","70~74","남자-배우자 있음","","2406",
"종로구","70~74","남자-사별","","225",
"종로구","70~74","남자-이혼","","124",
"종로구","70~74","여자-계","","3487",
"종로구","70~74","여자-미혼","","93",
"종로구","70~74","여자-배우자있음","","1735",
"종로구","70~74","여자-사별","","1498",
"종로구","70~74","여자-이혼","","161",
"종로구","75~79","내국인(60세 이상)-계","","4552",
"종로구","75~79","혼인상태-계","","4552",
"종로구","75~79","미혼","","129",
"종로구","75~79","배우자 있음","","2641",
"종로구","75~79","사별","","1698",
"종로구","75~79","이혼","","84",
"종로구","75~79","남자-계","","1951",
"종로구","75~79","남자-미혼","","54",
"종로구","75~79","남자-배우자 있음","","1616",
"종로구","75~79","남자-사별","","231",
"종로구","75~79","남자-이혼","","50",
"종로구","75~79","여자-계","","2601",
"종로구","75~79","여자-미혼","","75",
"종로구","75~79","여자-배우자있음","","1025",
"종로구","75~79","여자-사별","","1467",
"종로구","75~79","여자-이혼","","34",
"종로구","80~84","내국인(60세 이상)-계","","2532",
"종로구","80~84","혼인상태-계","","2532",
"종로구","80~84","미혼","","79",
"종로구","80~84","배우자 있음","","1144",
"종로구","80~84","사별","","1278",
"종로구","80~84","이혼","","31",
"종로구","80~84","남자-계","","964",
"종로구","80~84","남자-미혼","","10",
"종로구","80~84","남자-배우자 있음","","755",
"종로구","80~84","남자-사별","","186",
"종로구","80~84","남자-이혼","","13",
"종로구","80~84","여자-계","","1568",
"종로구","80~84","여자-미혼","","69",
"종로구","80~84","여자-배우자있음","","389",
"종로구","80~84","여자-사별","","1092",
"종로구","80~84","여자-이혼","","18",
"종로구","85세 이상","내국인(60세 이상)-계","","1821",
"종로구","85세 이상","혼인상태-계","","1821",
"종로구","85세 이상","미혼","","23",
"종로구","85세 이상","배우자 있음","","547",
"종로구","85세 이상","사별","","1228",
"종로구","85세 이상","이혼","","23",
"종로구","85세 이상","남자-계","","576",
"종로구","85세 이상","남자-미혼","","10",
"종로구","85세 이상","남자-배우자 있음","","429",
"종로구","85세 이상","남자-사별","","136",
"종로구","85세 이상","남자-이혼","","1",
"종로구","85세 이상","여자-계","","1245",
"종로구","85세 이상","여자-미혼","","13",
"종로구","85세 이상","여자-배우자있음","","118",
"종로구","85세 이상","여자-사별","","1092",
